نام_غذا,کالری,پروتئین,چربی,کربوهیدرات,وعده
تخم‌مرغ آب‌پز,78,6,5,0,صبحانه
املت سبزیجات,120,8,7,3,صبحانه
پنیر و گردو,200,10,15,2,صبحانه
نان و کره,150,4,6,22,صبحانه
اوتمیل با میوه,180,6,5,30,صبحانه
شیک پروتئین,220,20,5,15,صبحانه
پنکیک سبوس‌دار,250,12,8,35,صبحانه
کره بادام و موز,230,6,12,28,صبحانه
کورن فلکس با شیر,180,7,3,35,صبحانه
توفو و سبزیجات,150,12,5,8,صبحانه
سیب,52,0.3,0.2,14,میان‌وعده
موز,89,1.1,0.3,23,میان‌وعده
ماست میوه‌ای,100,4,3,15,میان‌وعده
مغزهای مخلوط,150,5,13,6,میان‌وعده
کیک سبوس‌دار,120,3,4,20,میان‌وعده
هویج و کرفس,50,1,0,12,میان‌وعده
خرما و بادام,130,2,1,28,میان‌وعده
چیپس سبزیجات خانگی,90,2,3,15,میان‌وعده
پنیر و گوجه,110,7,6,5,میان‌وعده
نان سبوس‌دار و عسل,140,4,2,30,میان‌وعده
سالاد مرغ,250,20,12,10,ناهار
برنج و مرغ,350,25,8,50,ناهار
خوراک سبزیجات,180,5,7,25,ناهار
ماکارونی سبوس‌دار,320,15,5,60,ناهار
خوراک گوشت و سبزیجات,400,30,15,20,ناهار
کتلت مرغ,270,20,12,15,ناهار
سوپ عدس,150,8,3,25,ناهار
خوراک لوبیا سبز با گوشت,280,18,10,20,ناهار
خوراک ماهی و سبزیجات,350,28,12,15,ناهار
سالاد تن,220,20,8,10,ناهار
سوپ سبزیجات,90,3,2,15,شام
ماهی گریل شده,220,25,10,0,شام
سالاد تن,150,20,5,5,شام
خوراک لوبیا و سبزیجات,200,10,5,30,شام
میگو با سبزیجات,180,20,5,5,شام
مرغ بخارپز با سبزیجات,250,25,8,10,شام
خوراک بوقلمون,230,25,7,8,شام
پاستا با سبزیجات,300,12,10,50,شام
کدو حلوایی پخته,80,2,0,18,شام
خوراک عدس و سبزیجات,180,9,4,25,شام
ماست کم‌چرب,80,5,0.5,8,میان‌وعده دوم
میوه خشک,120,2,0.5,30,میان‌وعده دوم
شیک پروتئین,200,20,4,10,میان‌وعده دوم
نخود بوداده,130,7,3,18,میان‌وعده دوم
کره بادام زمینی با سیب,180,6,10,15,میان‌وعده دوم
پنیر و گردو,150,8,12,4,میان‌وعده دوم
کیک سبوس‌دار,120,3,4,20,میان‌وعده دوم
میوه تازه (انواع توت),60,1,0.5,15,میان‌وعده دوم
ماست با عسل و مغزها,150,7,5,18,میان‌وعده دوم

